date,event,category,organization,description,impact_level,compute_flops,source_url,notes
2023-05-10,PaLM 2,model,Google,Improved multilingual reasoning,high,3e24,https://ai.google/discover/palm2/,Powers Bard/Gemini
2023-05-16,GPT-4 API,product,OpenAI,Public API access to GPT-4,medium,,https://openai.com/blog/gpt-4-api-general-availability,Widespread integration
2023-07-18,LLaMA 2,model,Meta,Open commercial license models,high,3e23,https://arxiv.org/abs/2307.09288,Commercial open models
2023-07-20,Claude 2,product,Anthropic,100K context window,high,2e23,https://www.anthropic.com/index/claude-2,Long context breakthrough
2023-08-03,Replit Ghostwriter,product,Replit,Code generation in IDE,low,,https://replit.com/site/ghostwriter,Developer tooling
2023-09-20,DALL-E 3,model,OpenAI,Improved image generation,high,5e21,https://openai.com/dall-e-3,Quality improvements
2023-09-25,Mistral 7B,model,Mistral AI,Efficient open model,medium,1e22,https://mistral.ai/news/announcing-mistral-7b/,European AI competition
2023-10-05,Code Llama,model,Meta,Specialized code generation,medium,2e23,https://arxiv.org/abs/2308.12950,Open code models
2023-11-06,GPT-4 Turbo,model,OpenAI,128K context with lower cost,high,3e25,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,Context length race
2023-11-13,Inflection-2,model,Inflection AI,Competitive with GPT-4,high,5e24,https://inflection.ai/inflection-2,Startup competition
2023-12-06,Gemini,model,Google,Multimodal competitive with GPT-4,critical,1e26,https://arxiv.org/abs/2312.11805,Google's flagship response
2023-12-08,Mixtral 8x7B,model,Mistral AI,Mixture of Experts open model,high,5e23,https://mistral.ai/news/mixtral-of-experts/,MoE architecture open
2024-01-10,AlphaGeometry,research,DeepMind,IMO-level geometry solving,high,1e21,https://www.nature.com/articles/s41586-023-06924-6,Mathematical reasoning
2024-01-25,LLaMA Pro,model,Meta,Extended knowledge models,medium,5e23,https://arxiv.org/abs/2401.02415,Continual learning
2024-02-15,Gemini 1.5,model,Google,1M token context window,critical,5e25,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/,Extreme context length
2024-02-15,Sora,model,OpenAI,Text-to-video generation,critical,1e24,https://openai.com/sora,Video generation leap
2024-02-16,Claude 3,product,Anthropic,Opus/Sonnet/Haiku model family,critical,3e25,https://www.anthropic.com/news/claude-3-family,Multimodal competition
2024-03-04,Grok-1,model,xAI,314B open weights model,medium,8e24,https://x.ai/blog/grok-os,Musk's AI entry
2024-04-09,Llama 3,model,Meta,8B/70B efficient models,high,7e24,https://ai.meta.com/blog/meta-llama-3/,Strong open models
2024-04-17,Phi-3,model,Microsoft,Small language models (3.8B),medium,5e21,https://arxiv.org/abs/2404.14219,Efficient small models
2024-05-13,GPT-4o,model,OpenAI,Omni model - fast multimodal,critical,5e25,https://openai.com/index/hello-gpt-4o/,Real-time multimodal
2024-05-14,Ilya Sutskever leaves OpenAI,milestone,OpenAI,Chief Scientist departure,high,,,Safety concerns surface
2024-06-20,Claude 3.5 Sonnet,product,Anthropic,Outperforms GPT-4o on benchmarks,critical,4e25,https://www.anthropic.com/news/claude-3-5-sonnet,New SOTA
2024-07-18,Llama 3.1,model,Meta,405B flagship open model,critical,4e25,https://ai.meta.com/blog/meta-llama-3-1/,Largest open model
2024-08-13,Gemini 1.5 Pro,model,Google,2M token context in preview,high,8e25,https://blog.google/technology/ai/google-gemini-ai-update-august-2024/,Context records
2024-09-12,o1-preview,model,OpenAI,Chain-of-thought reasoning model,critical,1e26,https://openai.com/o1/,Reasoning breakthrough
2024-09-24,Llama 3.2,model,Meta,Vision models 11B/90B,high,6e25,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,Multimodal open
2024-10-03,Reflection 70B,model,HyperWrite,Self-correcting reasoning,medium,1e25,https://www.reflect.ai/,Agentic improvements
2024-10-22,Claude 3.5 Sonnet Updated,product,Anthropic,Computer use capability,critical,5e25,https://www.anthropic.com/news/3-5-models-and-computer-use,Agentic interaction
2024-10-31,Qwen 2.5,model,Alibaba,72B multilingual model,medium,5e25,https://qwenlm.github.io/blog/qwen2.5/,Chinese AI progress
2024-11-01,Frontier Model Risk,policy,Multiple,AI safety discussions intensify,high,,,Governance debates
